filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	165.0	105.0	334.0	35.0	0.1418953296302719	0.9964585098423852
filter0<-->filter2	1	15.0	240.0	895.0	148.0	0.9901809904207116	0.9964585098423852
filter0<-->filter3	2	15.0	180.0	894.0	185.0	0.9638107631347302	0.9964585098423852
filter0<-->filter4	3	45.0	15.0	17.0	38.0	0.9961870293816215	0.9964585098423852
filter0<-->filter5	4	135.0	90.0	213.0	95.0	0.579331354954099	0.9964585098423852
filter0<-->filter6	5	165.0	15.0	638.0	52.0	0.8979768405791879	0.9964585098423852
filter0<-->filter7	6	15.0	90.0	147.0	68.0	0.7558776959624365	0.9964585098423852
filter1<-->filter2	7	15.0	120.0	191.0	80.0	0.9468546149416317	0.9964585098423852
filter1<-->filter3	8	30.0	30.0	437.0	49.0	0.7006152508235122	0.9964585098423852
filter1<-->filter4	9	15.0	30.0	4.0	15.0	0.23452012383900928	0.9964585098423852
filter1<-->filter5	10	15.0	150.0	122.0	28.0	0.1619774272019635	0.9964585098423852
filter1<-->filter6	11	15.0	30.0	262.0	60.0	0.25651054721187855	0.9964585098423852
filter1<-->filter7	12	135.0	120.0	73.0	29.0	0.6529054035951534	0.9964585098423852
filter2<-->filter3	13	135.0	120.0	1590.0	161.0	0.8246378169795109	0.9964585098423852
filter2<-->filter4	14	15.0	90.0	14.0	32.0	0.2955864342597784	0.9964585098423852
filter2<-->filter5	15	90.0	240.0	912.0	92.0	0.9639649545343121	0.9964585098423852
filter2<-->filter6	16	15.0	30.0	498.0	164.0	0.9404373940659769	0.9964585098423852
filter2<-->filter7	17	90.0	15.0	524.0	66.0	0.9964585098423852	0.9964585098423852
filter3<-->filter4	18	180.0	150.0	20.0	43.0	0.9385853770092188	0.9964585098423852
filter3<-->filter5	19	30.0	90.0	950.0	110.0	0.11726226432503611	0.9964585098423852
filter3<-->filter6	20	135.0	75.0	734.0	82.0	0.746396044259633	0.9964585098423852
filter3<-->filter7	21	195.0	90.0	554.0	79.0	0.21071426123028997	0.9964585098423852
filter4<-->filter5	22	45.0	15.0	10.0	16.0	0.9693284492894677	0.9964585098423852
filter4<-->filter6	23	30.0	45.0	9.0	22.0	0.32385210963111294	0.9964585098423852
filter5<-->filter6	25	75.0	240.0	127.0	61.0	0.445917096398012	0.9964585098423852
filter5<-->filter7	26	15.0	15.0	238.0	35.0	0.9542603486670385	0.9964585098423852
filter6<-->filter7	27	75.0	15.0	84.0	44.0	0.8720885739044817	0.9964585098423852
