filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	180.0	60.0	5.0	1.0	0.0037474787584676197	0.04496974510161144
filter0<-->filter4	3	60.0	90.0	3.0	2.0	0.4	0.7912087912087912
filter0<-->filter5	4	30.0	150.0	29.0	2.0	0.8064516129032258	0.8753174496343161
filter0<-->filter7	6	105.0	255.0	13.0	1.0	2.075694454556102e-06	4.981666690934645e-05
filter1<-->filter2	7	225.0	165.0	2.0	1.0	0.11033568095992341	0.3851023645841202
filter1<-->filter3	8	150.0	135.0	7.0	3.0	0.8083333333333332	0.8753174496343161
filter1<-->filter4	9	90.0	75.0	2.0	8.0	0.044444444444444446	0.2666666666666667
filter1<-->filter5	10	210.0	210.0	171.0	2.0	0.4913294797687861	0.8422791081750618
filter1<-->filter6	11	30.0	30.0	16.0	2.0	0.5294117647058824	0.8470588235294118
filter1<-->filter7	12	15.0	15.0	45.0	7.0	0.7852603170350899	0.8753174496343161
filter2<-->filter4	14	60.0	120.0	7.0	14.0	0.8388458892328863	0.8753174496343161
filter2<-->filter5	15	15.0	225.0	33.0	38.0	0.057784146674649595	0.27736390403831807
filter2<-->filter6	16	180.0	45.0	4.0	3.0	0.42857142857142855	0.7912087912087912
filter2<-->filter7	17	75.0	45.0	18.0	10.0	0.7855613954254808	0.8753174496343161
filter3<-->filter4	18	150.0	165.0	18.0	5.0	0.9975333590894232	0.9975333590894232
filter3<-->filter5	19	210.0	120.0	80.0	27.0	0.6032563923077271	0.8753174496343161
filter3<-->filter6	20	45.0	15.0	10.0	2.0	0.30303030303030304	0.6611570247933884
filter3<-->filter7	21	30.0	75.0	44.0	9.0	0.21371986038670265	0.5353866166456848
filter4<-->filter5	22	15.0	60.0	452.0	45.0	0.8313342001284538	0.8753174496343161
filter4<-->filter6	23	60.0	30.0	38.0	3.0	0.016322701688555347	0.13058161350844277
filter4<-->filter7	24	90.0	150.0	3.0	59.0	0.11232152300370174	0.3851023645841202
filter5<-->filter6	25	135.0	30.0	217.0	17.0	0.2108053052111339	0.5353866166456848
filter5<-->filter7	26	15.0	75.0	838.0	27.0	0.22307775693570198	0.5353866166456848
filter6<-->filter7	27	30.0	15.0	105.0	5.0	0.8337392356310435	0.8753174496343161
