filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	105.0	30.0	20.0	7.0	0.9996306431089043	0.9996306431089043
filter0<-->filter2	1	150.0	60.0	5.0	4.0	0.634920634920635	0.9996306431089043
filter0<-->filter3	2	75.0	15.0	10.0	1.0	3.193222375218491e-05	0.0007983055938046228
filter0<-->filter4	3	60.0	15.0	8.0	7.0	0.3894327894327895	0.8934362451539507
filter0<-->filter5	4	30.0	15.0	8.0	7.0	0.7320901320901322	0.9996306431089043
filter0<-->filter6	5	240.0	30.0	33.0	15.0	0.36096325807956176	0.8934362451539507
filter1<-->filter2	7	45.0	120.0	78.0	20.0	0.8954608629164112	0.9996306431089043
filter1<-->filter3	8	195.0	30.0	162.0	12.0	0.9068257115105156	0.9996306431089043
filter1<-->filter5	10	210.0	180.0	193.0	57.0	0.8874884069095361	0.9996306431089043
filter1<-->filter6	11	15.0	45.0	750.0	64.0	0.14626456329596216	0.7931271631565776
filter1<-->filter7	12	15.0	15.0	92.0	50.0	0.3931119478677383	0.8934362451539507
filter2<-->filter3	13	15.0	90.0	43.0	11.0	0.9279172085170031	0.9996306431089043
filter2<-->filter4	14	75.0	15.0	32.0	26.0	0.18851338746446222	0.7931271631565776
filter2<-->filter5	15	15.0	15.0	46.0	30.0	0.886120308487236	0.9996306431089043
filter2<-->filter6	16	15.0	90.0	174.0	36.0	0.9057868480011737	0.9996306431089043
filter2<-->filter7	17	45.0	120.0	49.0	22.0	0.1903505191575786	0.7931271631565776
filter3<-->filter4	18	90.0	75.0	77.0	15.0	0.9884706875979243	0.9996306431089043
filter3<-->filter5	19	15.0	120.0	48.0	16.0	0.22603738305760307	0.8072763680628681
filter3<-->filter6	20	15.0	15.0	239.0	61.0	0.05694595638970068	0.7118244548712584
filter3<-->filter7	21	195.0	120.0	107.0	5.0	0.9344186763911538	0.9996306431089043
filter4<-->filter5	22	30.0	15.0	107.0	46.0	0.9339665778039663	0.9996306431089043
filter4<-->filter6	23	15.0	165.0	391.0	55.0	0.7246242988226075	0.9996306431089043
filter5<-->filter6	25	15.0	30.0	262.0	82.0	0.11154789628805939	0.7931271631565776
filter5<-->filter7	26	15.0	105.0	140.0	35.0	0.9176615518592575	0.9996306431089043
filter6<-->filter7	27	15.0	30.0	483.0	43.0	0.3676043375158226	0.8934362451539507
