filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	240.0	30.0	14.0	14.0	0.436118814893406	0.7579877512430196
filter0<-->filter2	1	120.0	165.0	27.0	12.0	0.3746718665004838	0.7579877512430196
filter0<-->filter3	2	15.0	90.0	16.0	10.0	0.918743981311094	0.992727860374919
filter0<-->filter4	3	60.0	75.0	6.0	3.0	0.6428571428571428	0.8357142857142856
filter0<-->filter5	4	105.0	75.0	5.0	6.0	0.21428571428571427	0.6964285714285714
filter0<-->filter6	5	15.0	30.0	24.0	30.0	0.1461315842232217	0.6964285714285714
filter0<-->filter7	6	45.0	270.0	220.0	1.0	4.0340702179645057e-84	1.0488582566707714e-82
filter1<-->filter2	7	60.0	75.0	10.0	19.0	0.4725645704484023	0.7579877512430196
filter1<-->filter3	8	45.0	210.0	17.0	10.0	0.04161606632084229	0.36067257478063314
filter1<-->filter5	10	15.0	90.0	4.0	7.0	0.793939393939394	0.9829725829725829
filter1<-->filter6	11	15.0	15.0	60.0	14.0	0.5247607508605521	0.7579877512430196
filter1<-->filter7	12	60.0	15.0	150.0	15.0	0.5033918872888935	0.7579877512430196
filter2<-->filter3	13	45.0	165.0	6.0	19.0	0.43850931677018634	0.7579877512430196
filter2<-->filter4	14	105.0	60.0	6.0	11.0	0.992727860374919	0.992727860374919
filter2<-->filter5	15	30.0	195.0	4.0	8.0	0.8585858585858586	0.992727860374919
filter2<-->filter6	16	30.0	75.0	56.0	8.0	0.3414317133123437	0.7579877512430196
filter2<-->filter7	17	15.0	60.0	133.0	28.0	0.16937058104577596	0.6964285714285714
filter3<-->filter4	18	60.0	45.0	3.0	4.0	0.3142857142857143	0.7579877512430196
filter3<-->filter5	19	90.0	90.0	4.0	5.0	0.20634920634920634	0.6964285714285714
filter3<-->filter6	20	45.0	15.0	68.0	8.0	0.917199086969861	0.992727860374919
filter3<-->filter7	21	15.0	30.0	153.0	20.0	0.26778200914280137	0.7579877512430196
filter4<-->filter6	23	45.0	75.0	23.0	4.0	0.97954415954416	0.992727860374919
filter4<-->filter7	24	15.0	45.0	46.0	10.0	0.5971669987192865	0.8171758929842868
filter5<-->filter6	25	30.0	75.0	19.0	1.0	9.711953102189403e-09	1.2625539032846222e-07
filter5<-->filter7	26	15.0	15.0	56.0	9.0	0.42096280305940487	0.7579877512430196
filter6<-->filter7	27	60.0	120.0	670.0	2.0	0.1937451209992194	0.6964285714285714
