filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	15.0	45.0	46.0	9.0	0.594401951245507	0.950729559924962
filter0<-->filter2	1	15.0	30.0	24.0	6.0	0.6845252831459726	0.950729559924962
filter0<-->filter3	2	120.0	30.0	104.0	8.0	0.29897721320783116	0.950729559924962
filter0<-->filter4	3	15.0	30.0	48.0	2.0	0.18367346938775508	0.9183673469387754
filter0<-->filter5	4	135.0	255.0	15.0	3.0	0.36887254901960786	0.950729559924962
filter0<-->filter6	5	15.0	105.0	7.0	23.0	0.5	0.950729559924962
filter0<-->filter7	6	30.0	60.0	793.0	2.0	0.65391378736752	0.950729559924962
filter1<-->filter2	7	15.0	120.0	13.0	2.0	0.34285714285714286	0.950729559924962
filter1<-->filter3	8	105.0	195.0	11.0	8.0	0.5798073615411077	0.950729559924962
filter1<-->filter6	11	90.0	15.0	11.0	9.0	0.9446939631257385	0.9570148489503332
filter1<-->filter7	12	15.0	15.0	71.0	2.0	0.8554033485540335	0.9570148489503332
filter2<-->filter3	13	120.0	30.0	23.0	3.0	0.8238461538461539	0.9570148489503332
filter2<-->filter4	14	120.0	-1.0	10.0	0.0	3.193222375218491e-05	0.00026610186460154095
filter2<-->filter5	15	135.0	120.0	4.0	1.0	0.010535285067189329	0.0658455316699333
filter2<-->filter6	16	15.0	60.0	4.0	8.0	0.40404040404040403	0.950729559924962
filter2<-->filter7	17	105.0	45.0	156.0	1.0	3.2031155288273287e-60	8.007788822068321e-59
filter3<-->filter4	18	105.0	60.0	13.0	2.0	0.4666666666666667	0.950729559924962
filter3<-->filter5	19	150.0	120.0	2.0	4.0	0.4	0.950729559924962
filter3<-->filter6	20	45.0	180.0	29.0	16.0	0.8000349327212579	0.9570148489503332
filter3<-->filter7	21	90.0	15.0	214.0	3.0	0.9570148489503332	0.9570148489503332
filter4<-->filter6	23	90.0	195.0	15.0	1.0	3.43307777391319e-07	4.291347217391487e-06
filter4<-->filter7	24	15.0	105.0	99.0	2.0	0.52429632265413	0.950729559924962
filter5<-->filter6	25	180.0	240.0	6.0	8.0	0.668997668997669	0.950729559924962
filter5<-->filter7	26	105.0	75.0	35.0	2.0	0.8018018018018018	0.9570148489503332
filter6<-->filter7	27	30.0	30.0	414.0	11.0	0.8929361648787975	0.9570148489503332
