filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	15.0	45.0	104.0	128.0	0.9999433340491017	0.9999985399097588
filter0<-->filter2	1	60.0	15.0	7.0	76.0	0.8273438963457451	0.9999985399097588
filter0<-->filter3	2	75.0	60.0	62.0	106.0	0.9428777278001648	0.9999985399097588
filter0<-->filter4	3	15.0	225.0	232.0	43.0	0.23697581179157184	0.9617757821370007
filter0<-->filter5	4	15.0	15.0	89.0	107.0	0.9999985399097588	0.9999985399097588
filter0<-->filter6	5	75.0	15.0	10.0	84.0	0.8716672661676397	0.9999985399097588
filter0<-->filter7	6	75.0	15.0	43.0	86.0	0.8762838854608962	0.9999985399097588
filter1<-->filter2	7	15.0	15.0	58.0	334.0	0.513270367304409	0.989878565515646
filter1<-->filter3	8	15.0	15.0	132.0	509.0	0.6725659780793807	0.9999985399097588
filter1<-->filter4	9	15.0	30.0	1050.0	249.0	0.4310456329734863	0.9617757821370007
filter1<-->filter5	10	15.0	15.0	169.0	380.0	0.9998043754073148	0.9999985399097588
filter1<-->filter6	11	30.0	15.0	70.0	356.0	0.7708865528418403	0.9999985399097588
filter1<-->filter7	12	15.0	105.0	74.0	478.0	0.42437228960452156	0.9617757821370007
filter2<-->filter3	13	75.0	15.0	229.0	238.0	0.44829181666893136	0.9617757821370007
filter2<-->filter5	15	75.0	15.0	3.0	171.0	0.11414678465310969	0.9617757821370007
filter2<-->filter6	16	15.0	195.0	32.0	264.0	0.9183697362664454	0.9999985399097588
filter2<-->filter7	17	75.0	15.0	229.0	185.0	0.3615114503159893	0.9617757821370007
filter3<-->filter4	18	15.0	15.0	777.0	242.0	0.3149446019108275	0.9617757821370007
filter3<-->filter5	19	90.0	210.0	60.0	247.0	0.5736406639214572	0.9999985399097588
filter3<-->filter6	20	30.0	15.0	236.0	255.0	0.2875534516230044	0.9617757821370007
filter3<-->filter7	21	150.0	180.0	202.0	369.0	0.6992691316157026	0.9999985399097588
filter4<-->filter5	22	15.0	30.0	516.0	125.0	0.7927010564624029	0.9999985399097588
filter4<-->filter6	23	30.0	60.0	21.0	297.0	0.16846478679890914	0.9617757821370007
filter4<-->filter7	24	15.0	195.0	783.0	193.0	0.34185883180324494	0.9617757821370007
filter5<-->filter6	25	75.0	15.0	8.0	191.0	0.4498504458626548	0.9617757821370007
filter5<-->filter7	26	15.0	45.0	21.0	238.0	0.46307722843633364	0.9617757821370007
filter6<-->filter7	27	75.0	15.0	235.0	199.0	0.42507048032590633	0.9617757821370007
