filter_interaction	example_no	mean_distance	mean_distance_bg	num_obs	num_obs_bg	pval	adjusted_pval
filter0<-->filter1	0	135.0	150.0	491.0	188.0	0.7517894173069091	0.9446428571428573
filter0<-->filter2	1	240.0	120.0	56.0	21.0	0.2166653741067991	0.9446428571428573
filter0<-->filter3	2	75.0	90.0	459.0	495.0	0.30978735610573443	0.9446428571428573
filter0<-->filter4	3	135.0	150.0	893.0	396.0	0.45817982089854203	0.9446428571428573
filter0<-->filter5	4	30.0	60.0	11.0	4.0	0.20586080586080585	0.9446428571428573
filter0<-->filter6	5	195.0	105.0	134.0	40.0	0.8778358954885592	0.9446428571428573
filter0<-->filter7	6	225.0	75.0	27.0	26.0	0.6876784270918487	0.9446428571428573
filter1<-->filter2	7	120.0	150.0	36.0	10.0	0.9062889280888535	0.9446428571428573
filter1<-->filter3	8	135.0	45.0	609.0	118.0	0.6456391409472055	0.9446428571428573
filter1<-->filter4	9	15.0	150.0	203.0	287.0	0.4168926989605363	0.9446428571428573
filter1<-->filter6	11	240.0	30.0	108.0	25.0	0.8005858816892846	0.9446428571428573
filter1<-->filter7	12	195.0	15.0	19.0	22.0	0.112047279618877	0.9446428571428573
filter2<-->filter3	13	240.0	165.0	55.0	21.0	0.6953648127795102	0.9446428571428573
filter2<-->filter4	14	210.0	150.0	54.0	20.0	0.21620655736098277	0.9446428571428573
filter2<-->filter6	16	240.0	135.0	13.0	3.0	0.9446428571428573	0.9446428571428573
filter3<-->filter4	18	135.0	90.0	1054.0	289.0	0.2985659104878424	0.9446428571428573
filter3<-->filter5	19	60.0	75.0	13.0	2.0	0.6	0.9446428571428573
filter3<-->filter6	20	15.0	105.0	158.0	37.0	0.7642533507269501	0.9446428571428573
filter3<-->filter7	21	225.0	105.0	27.0	22.0	0.4008067604707524	0.9446428571428573
filter4<-->filter5	22	90.0	15.0	11.0	8.0	0.45194623058400146	0.9446428571428573
filter4<-->filter6	23	240.0	30.0	144.0	40.0	0.8709522384503514	0.9446428571428573
filter4<-->filter7	24	195.0	15.0	30.0	30.0	0.5382789340108821	0.9446428571428573
